time,aX,aY,aZ
239,-997.56,-8.79,15.63
239.1,-1013.18,-1.95,15.14
239.2,-1012.21,5.37,22.95
239.3,-1009.28,-11.23,19.04
239.4,-1011.23,-6.84,9.77
239.5,-995.12,-13.18,8.79
239.6,-1006.84,-9.77,10.25
239.7,-1007.32,-7.32,18.55
239.8,-1010.74,-14.16,10.74
239.9,-1006.35,-12.21,15.14
240,-1003.91,-19.04,11.72
240.1,-1010.25,-10.74,17.58
240.2,-1014.16,-2.44,15.63
240.3,-1010.25,-13.67,5.37
240.4,-1007.32,-18.55,14.16
240.5,-1003.42,2.93,15.14
240.6,-1006.84,-6.35,11.72
240.7,-1013.18,-10.74,13.67
240.8,-1003.42,-11.72,1.46
240.9,-1004.39,-9.77,26.86
241,-1000.49,-11.72,14.65
241.1,-995.12,-21.48,15.63
241.2,-1014.65,-17.09,7.32
241.3,-1005.86,-8.3,21
241.4,-1005.86,-6.35,16.6
241.5,-1010.74,-5.37,14.65
241.6,-1002.44,-21,14.65
241.7,-1006.35,-9.77,18.55
241.8,-1008.3,0.98,10.74
241.9,-1019.53,-9.77,12.21
242,-1007.81,-11.23,7.32
242.1,-991.21,-5.37,7.81
242.2,-1018.55,2.93,8.79
242.3,-1014.16,-1.46,17.09
242.4,-1013.67,-13.67,16.6
242.5,-1004.39,-15.63,13.18
242.6,-1003.42,-2.93,20.02
242.7,-996.58,-3.91,10.74
242.8,-1007.81,-9.77,16.6
242.9,-996.58,-13.67,13.18
243,-1007.81,1.46,15.14
243.1,-995.61,2.44,4.88
243.2,-1002.93,-20.51,13.67
243.3,-1000.49,-14.65,9.77
243.4,-1005.86,-14.16,17.09
243.5,-1003.91,-15.63,5.86
243.6,-995.61,-27.34,1.46
243.7,-998.54,-9.28,5.37
243.8,-998.54,-10.25,13.67
243.9,-996.09,-4.88,11.23
244,-1003.42,-12.7,20.02
244.1,-1017.09,-9.77,15.14
244.2,-1009.77,-5.86,10.25
244.3,-1004.88,-12.7,21.48
244.4,-1001.46,-15.14,8.3
244.5,-1004.39,-18.55,7.81
244.6,-1005.86,-20.51,15.63
244.7,-1000,-21.48,14.65
244.8,-1008.3,-10.25,16.6
244.9,-997.56,-30.27,11.72
245,-1000,-20.02,18.55
245.1,-1006.35,-12.7,21
245.2,-990.23,-11.72,17.58
245.3,-1006.84,-13.18,4.39
245.4,-997.56,-9.77,14.65
245.5,-1000.49,0.49,17.09
245.6,-1005.86,-11.72,4.88
245.7,-1005.37,-8.3,11.23
245.8,-1007.32,-16.11,15.14
245.9,-995.12,-8.3,18.55
246,-1002.93,1.46,5.37
246.1,-1009.28,-11.23,6.35
246.2,-1019.04,-12.7,17.09
246.3,-1005.86,-5.37,8.79
246.4,-1011.23,-7.81,10.25
246.5,-1002.93,-5.86,8.3
246.6,-999.51,-8.3,3.42
246.7,-1007.32,-8.79,0.49
246.8,-998.05,-2.44,16.6
246.9,-999.02,-12.7,1.46
247,-1014.16,-3.91,9.77
247.1,-1000.49,-16.11,3.42
247.2,-997.56,-10.25,7.81
247.3,-995.61,-5.86,19.04
247.4,-1009.77,0.98,7.81
247.5,-989.26,3.42,7.81
247.6,-995.12,-18.55,9.77
247.7,-1007.32,-11.72,4.39
247.8,-1010.74,-3.91,14.65
247.9,-996.09,-10.25,22.46
248,-997.07,-20.02,2.93
248.1,-1005.37,-12.21,6.35
248.2,-1006.84,-1.95,3.91
248.3,-1022.46,-11.72,17.09
248.4,-1006.35,9.28,11.23
248.5,-1001.46,-13.67,14.16
248.6,-1010.25,-5.86,4.88
248.7,-1001.95,-4.39,9.28
248.8,-1015.63,0.49,5.37
248.9,-992.19,-11.23,8.79
249,-1015.14,-0.98,12.7
249.1,-1003.91,-11.72,4.88
249.2,-1016.11,-14.16,12.7
249.3,-991.21,-17.09,15.14
249.4,-1007.81,3.42,16.11
249.5,-1015.14,-7.32,22.95
249.6,-1003.91,-6.84,13.67
249.7,-1010.74,-4.39,12.21
249.9,-1011.72,-0.49,5.37
250,-1006.35,-0.98,13.18
250.1,-994.63,-5.37,12.7
250.2,-1001.95,-8.79,11.23
250.3,-1009.77,7.81,7.81
250.4,-1000.98,-7.32,13.18
250.5,-985.35,-16.6,17.58
250.6,-1009.28,-3.91,11.72
250.7,-1010.25,-14.65,10.74
250.8,-1011.23,-0.49,11.72
250.9,-1002.93,2.93,14.16
251,-1005.86,-3.91,15.63
251.1,-1000.98,-14.16,21.97
251.2,-1002.44,-22.95,8.79
251.3,-990.72,-27.34,4.39
251.4,-998.05,-20.02,17.09
251.5,-1000.49,-12.21,17.58
251.6,-998.05,-17.09,19.53
251.7,-1000,-11.23,5.86
251.8,-1011.23,-14.16,9.28
251.9,-1005.37,-5.86,11.72
252,-1007.81,-12.7,11.23
252.1,-1000,-7.32,15.63
252.2,-994.14,0.98,13.18
252.3,-988.77,-8.3,4.39
252.4,-1003.42,-12.21,16.6
252.5,-997.07,-19.04,-1.95
252.6,-1000.98,-9.77,-3.91
252.7,-996.09,-10.25,7.81
252.8,-1016.6,-2.44,10.74
252.9,-1005.37,-4.88,10.25
253,-1010.74,-13.67,14.16
253.1,-998.05,-14.65,6.84
253.2,-1014.16,-5.37,10.25
253.3,-1000.98,-10.74,0
253.4,-998.05,-10.25,3.91
253.5,-998.05,-23.44,15.63
253.7,-1005.37,-6.84,4.39
253.8,-994.14,-13.67,6.84
253.9,-1002.44,-17.58,11.23
254,-1001.95,-14.65,9.77
254.1,-1002.93,-4.88,18.07
254.2,-1000.49,1.95,18.07
254.3,-998.54,-6.35,23.44
254.4,-990.72,-13.18,21
254.5,-996.58,-6.35,6.84
254.6,-1001.95,-6.35,12.7
254.7,-998.54,-5.37,14.65
254.8,-1001.46,-0.98,16.6
254.9,-1011.72,-18.55,3.91
255,-1000.98,-17.09,6.84
255.1,-997.07,-11.72,8.3
255.2,-1004.88,-13.18,18.07
255.3,-1003.42,-10.74,19.04
255.4,-1008.3,-10.25,1.95
255.5,-1019.04,-5.37,13.67
255.6,-1009.28,1.95,13.18
255.7,-998.05,-4.88,22.95
255.8,-1005.37,-5.86,18.07
255.9,-1011.72,-8.79,9.28
256,-1004.39,-1.46,15.14
256.1,-1007.32,-28.81,5.37
256.2,-1000,0,8.3
256.3,-993.16,-10.74,8.3
256.4,-1007.81,2.93,23.44
256.5,-997.07,-18.07,12.7
256.6,-1008.79,-2.93,10.25
256.7,-1008.3,-3.91,10.74
256.8,-1001.95,-18.55,13.67
256.9,-1006.35,-9.77,7.32
257,-1011.72,-8.79,8.3
257.1,-1002.93,-1.95,12.21
257.2,-1017.58,-3.91,7.32
257.3,-1009.77,-14.16,11.23
257.4,-1015.14,-14.16,9.28
257.5,-1009.28,-18.07,11.72
257.6,-1003.42,-4.39,7.32
257.7,-995.61,-15.63,7.32
257.8,-1007.81,-11.23,21.48
257.9,-1008.79,3.42,9.77
258,-1000,-9.77,6.35
258.1,-993.16,-13.18,17.09
258.2,-1008.79,-20.51,2.44
258.3,-1005.86,-14.16,9.77
258.4,-1006.84,-21.97,18.07
258.5,-990.23,-13.18,6.35
258.6,-1002.44,-9.77,17.09
258.7,-1001.46,-1.95,6.84
258.8,-999.51,-21.48,2.93
258.9,-1000.49,-15.14,8.79
259,-1000.49,-16.11,18.07
259.1,-1006.35,-3.91,19.53
259.2,-1001.95,-17.09,5.37
259.3,-1010.74,-4.39,27.34
259.4,-1000.98,-23.93,14.65
259.5,-1009.28,-12.7,11.72
259.6,-1007.81,-10.25,4.39
259.7,-1010.74,-0.49,9.77
259.8,-992.19,-18.55,8.3
259.9,-1009.77,-4.39,8.3
260,-1000.49,-11.23,21.97
260.1,-1000.98,-4.39,4.39
260.2,-1001.46,1.95,6.35
260.3,-1011.23,-11.23,13.18
260.4,-1002.44,-4.88,8.79
260.5,-1011.23,-0.49,15.63
260.6,-984.86,-14.16,11.72
260.7,-1009.77,-7.32,13.18
260.8,-1006.35,-5.86,8.3
260.9,-1014.65,-6.35,9.28
261,-990.72,1.46,11.72
261.1,-1003.91,-9.77,28.81
261.2,-1002.44,-1.46,8.79
261.3,-1001.46,-17.58,0.49
261.4,-992.68,-11.23,5.37
261.5,-1001.46,0.98,2.93
261.6,-1003.42,-10.74,7.81
261.7,-999.51,-15.14,9.28
261.8,-1005.37,-15.14,10.25
261.9,-1000.49,-16.11,17.58
262,-1000.49,-10.25,15.63
262.1,-1005.86,-17.58,16.11
262.2,-999.51,-8.3,4.88
262.4,-1003.91,-11.23,18.07
262.5,-1007.32,-14.65,0.49
262.6,-997.07,-12.7,12.21
262.7,-1010.25,-15.14,11.23
262.8,-999.02,-6.35,7.81
262.9,-1007.81,-21,10.74
263,-999.02,-14.16,10.25
263.1,-991.7,-7.81,16.6
263.2,-1014.16,4.39,12.21
263.3,-1008.79,-5.37,8.79
263.4,-991.21,-12.21,1.46
263.5,-1007.32,-6.84,7.81
263.6,-1010.25,-10.25,12.21
263.7,-1002.93,-13.67,10.74
263.8,-1001.46,-15.14,15.14
263.9,-1011.72,-2.93,7.81
264,-1001.46,-1.95,8.79
264.1,-1013.18,-12.7,12.21
264.2,-1006.84,-6.84,21.48
264.3,-1010.74,-9.77,5.86
264.4,-998.05,-11.72,-3.91
264.5,-995.12,-13.67,7.81
264.6,-1000.49,-4.88,19.04
264.7,-1010.25,-15.63,19.53
264.8,-1004.88,0.49,15.14
264.9,-999.51,-5.86,12.7
265,-1015.14,-11.23,16.11
265.1,-1019.04,-9.77,14.16
265.2,-999.51,-10.74,10.25
265.3,-1001.46,-17.58,10.25
265.4,-1013.18,-7.81,2.93
265.5,-1004.88,-6.84,16.11
265.6,-1016.6,-13.18,9.28
265.7,-993.65,-14.16,4.88
265.8,-1001.46,-4.39,14.16
265.9,-1004.88,-9.28,3.42
266,-1013.67,-15.63,9.77
266.1,-1004.39,-21.97,14.16
266.2,-1001.46,-9.77,11.23
266.3,-1005.37,-6.84,10.74
266.4,-1002.93,-9.77,14.65
266.5,-1005.37,-8.79,8.3
266.6,-1001.95,-14.16,4.39
266.7,-1005.37,-15.14,17.09
266.8,-1015.14,-12.7,17.58
266.9,-1003.91,-12.7,12.7
267,-998.54,-7.81,8.3
267.1,-1009.28,-14.16,4.88
267.2,-1002.44,-4.88,21.97
267.3,-1012.21,-20.02,13.18
267.4,-1000,-6.84,14.16
267.5,-1009.28,-8.3,19.04
267.6,-1003.42,-2.93,17.58
267.7,-1000.98,-11.72,13.67
267.8,-996.09,-18.55,10.25
267.9,-1013.67,-1.46,3.91
268,-1003.91,-1.46,5.86
268.1,-1000.49,-7.32,3.91
268.2,-1017.09,-17.58,4.88
268.3,-1002.93,-10.74,8.79
268.4,-999.51,-9.77,14.16
268.5,-1014.16,-8.79,12.7
268.6,-1002.44,-10.25,3.42
268.7,-1003.42,-1.95,18.07
268.8,-1001.95,-15.14,10.25
268.9,-1018.55,-10.25,11.72
269,-1009.28,-2.44,4.39
269.1,-995.61,-10.74,9.28
269.2,-1004.88,-13.18,14.16
269.3,-1005.37,-16.6,10.74
269.4,-1023.93,-7.81,7.81
269.5,-1009.28,-2.93,1.95
269.6,-1010.74,-8.79,11.72
269.7,-1000.98,-4.88,26.86
269.8,-988.77,-0.98,11.72
269.9,-1007.32,-4.88,21.48
270,-1016.6,-9.77,13.67
270.1,-1003.91,-17.09,19.53
270.2,-999.51,-13.67,16.6
270.3,-1009.77,-4.88,1.46
270.4,-1000,-4.88,-3.42
270.5,-986.82,-9.28,5.86
270.6,-1005.86,-4.39,13.18
270.7,-997.56,-16.6,18.55
270.8,-999.02,-17.58,-5.37
270.9,-1014.16,-7.81,18.07
271,-1003.91,-9.77,19.04
271.1,-1001.46,-11.72,21.97
271.2,-991.21,-10.25,17.58
271.4,-1009.77,-11.72,2.93
271.5,-994.14,-5.86,11.72
271.6,-1007.81,-0.49,15.63
271.7,-997.07,-10.74,10.25
271.8,-1001.46,-9.77,12.21
271.9,-1017.09,-9.28,17.58
272,-1011.23,-20.51,3.91
272.1,-1018.55,-17.09,15.14
272.2,-1007.32,-13.18,3.91
272.3,-1011.23,-13.67,15.63
272.4,-1016.11,-10.74,7.32
272.5,-1009.77,-3.91,19.04
272.6,-1011.23,3.91,7.81
272.7,-1007.81,-4.39,22.95
272.8,-1014.65,-21,-0.49
272.9,-994.14,3.42,10.25
273,-1011.23,-16.11,13.18
273.1,-1006.35,-8.79,12.21
273.2,-1010.25,-8.3,18.07
273.3,-1017.09,-9.77,3.42
273.4,-1002.93,-0.98,12.7
273.5,-1014.16,1.46,20.51
273.6,-1007.32,-9.77,-0.49
273.7,-994.63,-13.67,8.79
273.8,-1014.65,-12.21,14.65
273.9,-1012.7,-4.88,7.81
274,-996.09,-13.18,10.25
274.1,-1002.44,0.98,11.23
274.2,-1013.67,-13.67,15.14
274.3,-1007.32,0,4.88
274.4,-1012.7,-6.84,16.11
274.5,-993.65,-12.7,9.28
274.6,-997.56,-6.35,7.81
274.7,-995.61,-7.32,21
274.8,-998.05,-8.79,15.14
274.9,-1000.98,-11.72,11.23
275,-997.56,-2.93,4.39
275.1,-1001.46,-3.91,13.18
275.2,-1012.7,-1.95,2.44
275.3,-1002.44,-6.84,15.14
275.4,-1001.95,-18.55,14.65
275.5,-1000.98,0,3.42
275.6,-1006.84,-5.37,14.16
275.7,-1008.3,-17.58,18.55
275.8,-1001.46,0.98,8.3
275.9,-1008.79,-4.88,14.16
276,-999.02,-21.48,6.84
276.1,-1004.39,-12.21,0.98
276.2,-1008.3,-13.67,2.93
276.3,-1006.35,-0.98,10.74
276.4,-1015.14,-12.21,19.04
276.5,-1017.09,-3.91,16.11
276.6,-1001.95,-1.46,8.79
276.7,-1005.37,-9.28,9.28
276.8,-1006.35,-2.93,16.11
276.9,-1000,-8.3,12.21
277,-1007.81,-24.41,6.35
277.1,-1019.04,-6.35,11.23
277.2,-1008.79,-8.3,10.25
277.3,-1007.81,-14.65,15.14
277.4,-1009.77,-13.67,2.93
277.5,-1012.7,-8.79,13.18
277.6,-1007.32,-10.74,5.37
277.7,-1005.86,3.91,17.58
277.8,-1001.46,-9.77,13.67
277.9,-993.16,-8.3,19.53
278,-1009.77,-22.95,18.07
278.1,-1002.44,-4.88,6.84
278.2,-1006.84,-12.21,20.51
278.3,-996.09,-3.42,23.93
278.5,-1001.95,-13.67,9.28
278.6,-992.68,0.49,18.07
278.7,-1005.37,-5.37,11.72
278.8,-1007.81,-3.42,22.95
278.9,-1006.35,-20.51,17.58
279,-1008.79,-10.74,19.04
279.1,-1002.44,-16.6,15.63
279.2,-1004.39,-12.7,16.6
279.3,-1013.67,-5.86,3.91
279.4,-1007.32,-3.42,-5.86
279.5,-1016.11,-8.79,13.67
279.6,-1005.37,-7.32,0.98
279.7,-992.68,-2.93,16.11
279.8,-1000,-4.88,5.37
279.9,-1015.63,-8.79,6.35
280,-995.12,-12.21,26.86
280.1,-1003.91,-6.84,14.65
280.2,-1011.72,-14.65,19.04
280.3,-1000,-11.23,7.81
280.4,-1002.93,-17.09,19.53
280.5,-1001.95,-9.28,4.88
280.6,-994.63,-19.53,12.21
280.7,-1009.28,-4.88,18.07
280.8,-999.51,-11.23,16.11
280.9,-999.51,-6.35,18.07
281,-1013.18,-15.63,10.25
281.1,-1003.42,-7.32,12.7
281.2,-1015.63,-18.55,8.3
281.3,-1000.98,-19.04,2.44
281.4,-998.05,-18.07,7.81
281.5,-1011.72,-10.25,8.3
281.7,-1003.42,-3.42,18.07
281.8,-1006.84,-12.7,13.18
281.9,-1005.37,-6.84,22.46
282,-1006.35,-17.58,5.86
282.1,-1004.39,-13.67,10.74
282.2,-1006.35,2.44,15.63
282.3,-1003.42,-2.44,15.14
282.4,-1014.16,-13.18,20.51
282.5,-997.07,-2.44,16.11
282.6,-1000.98,-1.95,7.81
282.7,-1015.63,-17.09,9.77
282.8,-1012.7,-10.25,11.72
282.9,-1000.49,2.93,19.04
283,-996.09,-10.74,3.91
283.1,-1003.42,-19.53,6.84
283.2,-1005.86,-6.35,-1.95
283.3,-1000,-0.98,8.3
283.4,-1003.91,-10.74,8.79
283.5,-1008.79,-11.72,16.11
283.6,-1002.93,-23.44,20.02
283.7,-995.12,-12.7,4.88
283.8,-1006.35,-8.3,18.55
283.9,-1002.93,-9.28,7.32
284,-1007.32,-14.65,16.6
284.1,-1008.79,-15.14,11.72
284.2,-1009.28,-8.3,11.72
284.3,-998.54,-12.7,26.86
284.4,-1006.84,-12.21,11.72
284.5,-1003.91,-17.58,17.09
284.6,-1000.49,-3.91,9.77
284.7,-1009.77,-12.21,16.6
284.8,-995.61,-7.32,18.07
284.9,-998.05,-3.42,7.81
285,-1012.21,-10.25,11.72
285.1,-995.12,-2.93,17.09
285.2,-1003.42,-18.55,18.55
285.3,-1000.49,-7.81,13.18
285.4,-1022.46,-13.67,18.07
285.5,-996.58,-10.74,18.07
285.6,-1004.39,-18.07,15.14
285.7,-999.51,-20.02,15.63
285.8,-1002.44,-14.16,14.65
285.9,-1010.74,-18.07,10.74
286,-1011.72,-5.86,12.7
286.1,-1004.39,-11.72,10.74
286.2,-1003.91,0.49,11.23
286.3,-997.56,-0.98,18.55
286.4,-1016.6,-15.14,9.28
286.5,-996.58,-13.18,10.74
286.6,-993.16,3.91,29.79
286.7,-992.19,-7.32,9.28
286.8,-1001.95,-9.77,2.93
286.9,-1011.72,-9.77,10.25
287,-1003.42,-10.25,16.11
287.1,-1016.11,-14.65,9.77
287.2,-998.54,-16.6,11.72
287.3,-1003.42,-5.86,8.3
287.4,-1002.93,-15.63,11.72
287.5,-1014.16,-10.74,18.07
287.6,-1007.81,-12.21,3.91
287.7,-1004.88,-6.84,6.35
287.8,-1013.67,-3.91,7.32
287.9,-997.07,-10.25,7.32
288,-1006.84,-11.23,6.35
288.1,-996.09,-6.35,11.23
288.2,-999.02,-12.7,5.86
288.3,-1008.79,-8.3,2.93
288.4,-1005.37,-21.48,4.88
288.5,-1012.21,-6.35,18.55
288.6,-1000.49,-2.93,16.11
288.7,-1006.35,-11.23,9.77
288.8,-1013.18,-9.77,15.14
288.9,-1000.98,-16.11,5.37
289,-1004.88,-8.3,13.18
289.1,-990.72,-8.79,12.21
289.2,-1003.42,4.88,19.04
289.3,-1015.14,-9.28,2.44
289.4,-998.54,-11.72,3.91
289.5,-998.54,-4.39,-1.46
289.6,-999.02,-0.98,12.7
289.7,-1004.39,5.37,23.93
289.8,-1009.28,-5.37,14.65
289.9,-1004.39,-29.79,10.25
290,-1003.42,-7.81,8.79
290.1,-1012.7,0.98,7.81
290.2,-1004.88,-7.32,4.39
290.3,-999.02,-2.93,17.09
290.4,-1014.65,-12.7,11.23
290.5,-987.79,-12.21,13.18
290.6,-1003.42,-11.23,12.21
290.7,-1003.91,-9.77,9.77
290.8,-1002.44,-6.84,17.58
290.9,-1010.74,-2.93,14.65
291,-1007.81,-25.88,0.98
291.1,-994.14,-6.84,7.81
291.2,-1001.95,1.95,8.79
291.3,-1011.23,0,5.37
291.4,-1003.91,0.98,14.16
291.5,-1010.25,-11.72,12.21
291.6,-1013.67,-8.79,4.39
291.7,-1004.88,-10.25,5.37
291.8,-1004.88,-3.42,6.84
291.9,-997.56,-1.95,8.79
292,-993.65,-0.98,21.48
292.1,-1001.95,-4.39,7.32
292.2,-1011.72,-4.88,10.25
292.3,-998.54,-23.93,6.84
292.4,-991.7,-5.86,16.11
292.5,-1004.39,-6.84,10.74
292.6,-1008.79,-14.65,10.25
292.7,-1001.46,-4.88,22.46
292.8,-1012.21,-16.11,9.77
292.9,-1003.91,-3.91,5.37
293.1,-1002.44,-3.91,5.86
293.2,-999.51,-20.02,10.25
293.4,-1006.35,-8.3,13.67
293.5,-1011.72,-2.44,1.95
293.6,-1000.98,-10.74,15.63
293.7,-1002.44,-9.28,8.3
293.8,-1001.46,-4.39,16.11
293.9,-1006.35,-19.04,8.3
294,-1007.32,-11.72,-2.93
294.1,-998.05,-18.07,16.6
294.2,-1003.42,-6.35,9.77
294.3,-1004.88,-11.23,10.74
294.4,-1008.3,6.84,14.16
294.5,-1015.63,-13.18,9.28
294.6,-1016.11,-10.25,11.23
294.7,-1006.35,-11.72,24.9
294.8,-1006.35,-7.32,7.32
294.9,-1002.93,-6.84,15.63
295,-999.02,-7.81,2.93
295.1,-998.54,-10.25,13.67
295.2,-1003.91,-13.67,12.7
295.3,-997.56,-9.77,5.37
295.4,-1001.95,-3.91,10.25
295.5,-1007.32,-4.39,17.58
295.6,-1002.44,-9.77,0
295.7,-992.68,3.42,11.72
295.8,-999.02,-8.3,11.72
295.9,-1021,-14.65,5.86
296,-1011.23,-16.6,6.35
296.1,-1009.77,-14.16,8.3
296.2,-1002.44,-1.46,15.14
296.4,-1010.25,-10.74,10.25
296.5,-1012.7,-14.65,11.23
296.6,-1004.39,-16.11,4.88
296.7,-1015.14,-9.77,8.79
296.8,-1014.16,-7.32,6.84
296.9,-1015.63,-7.81,14.16
297,-1004.88,-8.3,5.86
297.1,-1006.35,-8.79,11.23
297.2,-1001.95,-13.18,12.7
297.3,-1013.67,-0.49,17.09
297.4,-992.19,-1.46,11.23
297.5,-1009.77,-20.51,18.55
297.6,-1002.93,-17.58,12.7
297.7,-1015.63,-15.63,8.3
297.8,-990.72,-11.72,3.91
297.9,-1004.88,-0.98,8.79
298,-1021,-17.58,7.32
298.1,-1005.37,-3.42,5.86
298.2,-1013.67,-9.77,0
298.3,-995.61,-10.74,11.23
298.4,-996.09,-6.35,17.58
298.5,-999.02,10.74,4.88
298.6,-1006.35,-14.16,9.77
298.7,-1000.98,-8.3,8.79
298.8,-1006.35,-8.3,27.34
298.9,-990.72,-4.39,1.95
299,-1004.88,-12.7,11.23
299.1,-1005.37,1.46,4.88
299.2,-998.54,-13.18,5.37
299.3,-1005.86,-12.21,15.63
299.4,-1004.39,-4.88,17.58
299.5,-999.51,-8.79,17.58
299.6,-997.07,-12.7,18.55
299.7,-1016.11,-11.23,10.25
299.8,-1000.98,-0.98,10.74
299.9,-999.51,-1.46,9.77
300,-999.02,-20.51,1.46
300.1,-999.02,-2.93,21
300.2,-1016.6,-7.32,22.46
300.3,-995.61,-7.81,20.51
300.4,-1006.84,-12.21,17.09
300.5,-1001.95,-11.23,10.25
300.6,-1000,-12.21,15.63
300.7,-997.07,-4.39,13.18
300.8,-982.91,-13.67,9.77
300.9,-993.65,-12.7,14.16
301,-994.63,-9.28,8.3
301.1,-1000,-3.42,1.46
301.2,-993.65,-10.25,9.77
301.3,-1006.35,-4.39,-0.49
301.4,-1002.44,-15.14,28.81
301.5,-984.38,-17.58,14.65
301.6,-1000.98,-0.49,13.18
301.7,-1005.37,-5.86,22.46
301.8,-1004.88,-11.72,6.84
301.9,-1006.84,0,13.67
302,-1000.98,-13.67,7.32
302.1,-1005.37,-9.28,20.02
302.2,-990.23,-7.32,15.14
302.3,-995.61,-22.46,14.16
302.4,-1000.49,-11.23,18.07
302.5,-994.63,2.93,9.77
302.6,-1017.09,-7.81,10.25
302.7,-1000,-19.53,9.28
302.8,-1002.44,-16.6,14.16
302.9,-997.07,-8.3,23.93
303,-1000.49,-4.88,17.09
303.1,-1013.67,-15.14,20.51
303.2,-998.05,1.46,7.81
303.3,-1004.39,-9.77,8.79
303.4,-1016.11,0.98,14.65
303.5,-1007.81,-11.72,21.97
303.6,-999.02,-13.67,10.74
303.7,-1015.14,-12.7,13.67
303.8,-1008.79,3.91,6.35
303.9,-1007.81,-8.79,13.67
304,-1006.84,-25.88,5.37
304.1,-1008.79,-8.3,10.74
304.2,-992.19,-1.95,9.77
304.3,-992.68,-0.49,13.18
304.4,-1000,-11.23,13.18
304.5,-1014.65,-21.48,8.79
304.6,-994.14,-8.3,16.6
304.7,-1010.25,-21,9.28
304.8,-1006.84,1.95,3.42
304.9,-1015.63,-7.81,6.35
305,-1004.88,-15.63,9.28
305.1,-992.68,-5.37,18.07
305.2,-1016.6,-17.58,22.46
305.3,-1001.95,-20.51,-0.98
305.5,-992.68,-0.49,8.79
305.6,-1002.93,-10.25,1.95
305.7,-1006.84,-8.3,18.55
305.8,-1013.18,-9.77,13.67
305.9,-1012.7,-11.72,15.63
306,-993.16,3.91,8.79
306.1,-1015.14,-14.16,13.18
306.2,-995.61,-8.79,9.28
306.3,-1005.37,-4.39,5.37
306.4,-1009.77,-7.81,13.67
306.5,-1003.91,-15.14,13.67
306.6,-1007.81,-8.79,17.09
306.7,-1006.35,-18.55,18.07
306.8,-998.54,-12.21,3.42
306.9,-1002.44,-11.23,17.09
307,-1000,-8.79,21
307.1,-1005.86,-16.11,4.88
307.2,-1000.98,-6.35,6.35
307.3,-999.51,-11.23,9.77
307.4,-1002.93,-1.95,11.23
307.5,-999.51,1.46,17.58
307.6,-1013.18,-16.11,2.93
307.7,-998.54,-11.72,0.98
307.8,-1005.37,-7.81,2.44
307.9,-1013.67,-13.18,23.44
308,-1001.95,-8.3,1.46
308.1,-1011.23,-10.25,0.49
308.2,-1008.3,-1.46,9.28
308.3,-1009.28,-6.84,18.07
308.4,-1006.84,-7.81,1.46
308.5,-999.02,-9.28,13.67
308.6,-1011.72,-10.25,6.35
308.7,-1016.6,-2.44,16.6
308.8,-1004.39,-0.98,15.63
308.9,-1007.32,-4.88,10.74
309,-1006.35,-24.9,20.51
309.1,-995.61,-12.21,21.48
309.2,-1011.23,-14.16,17.58
309.3,-1001.95,-7.32,17.09
309.4,-1010.25,-16.6,21.97
309.5,-999.02,-16.11,12.21
309.6,-1007.81,-3.42,-0.98
309.7,-1006.35,-2.44,6.84
309.8,-1000.49,-3.91,9.28
309.9,-1013.67,-21.48,5.86
310,-1005.37,-2.93,6.84
310.1,-1005.37,-12.21,13.67
310.2,-999.51,-9.77,14.16
310.3,-1017.09,-3.91,7.81
310.4,-990.23,-7.81,9.28
310.5,-1005.37,-21.48,17.09
310.6,-997.07,-5.37,11.23
310.7,-1005.37,-6.84,8.79
310.8,-993.16,-12.7,20.51
310.9,-1003.91,-7.81,0
311,-993.16,-6.35,10.74
311.1,-1007.32,-4.39,15.14
311.2,-1000.98,-10.74,10.25
311.3,-1014.16,-11.23,12.7
311.4,-1009.77,-1.95,20.51
311.5,-1002.44,-16.11,13.18
311.7,-1001.95,-3.91,12.7
311.8,-996.09,-12.7,14.16
311.9,-991.21,-16.6,11.72
312.1,-1010.25,0.49,8.3
312.2,-1015.14,-14.65,13.18
312.3,-998.05,-14.16,21.97
312.4,-1005.37,-21,10.74
312.5,-1001.95,-9.28,8.3
312.6,-1001.46,-11.23,4.88
312.7,-1009.28,-9.77,8.3
312.8,-1002.44,-17.58,17.09
312.9,-1007.81,-7.81,13.67
313,-999.51,-13.18,13.67
313.1,-1007.81,-7.32,1.46
313.2,-1007.32,9.28,18.07
313.3,-1006.84,-20.02,10.25
313.4,-1016.6,-6.35,16.6
313.5,-1019.04,-22.46,16.11
313.6,-998.54,-9.77,15.63
313.7,-1003.91,-13.18,8.79
313.8,-998.54,-5.37,13.18
313.9,-997.56,-6.35,19.53
314,-1003.91,-11.23,12.21
314.1,-1013.18,-10.74,17.09
314.2,-1008.79,-31.25,5.86
314.3,-1000,-12.7,-2.44
314.4,-1010.25,-8.79,17.58
314.5,-1007.81,-10.74,18.07
314.6,-1021.48,-9.77,14.65
314.7,-1011.23,-20.51,13.67
314.8,-999.02,-6.84,17.09
314.9,-1017.58,1.46,-2.93
315,-1010.25,-20.02,10.25
315.1,-1009.77,-18.55,12.21
315.2,-1024.41,-19.04,11.23
315.3,-1003.91,-14.16,18.07
315.4,-1004.39,-14.16,6.35
315.5,-1007.81,-5.37,5.86
315.6,-1000.98,-20.51,13.18
315.7,-1008.79,-15.14,9.28
315.8,-996.09,-8.3,8.3
315.9,-997.07,-9.77,14.16
316,-991.7,-2.93,6.35
316.1,-1004.39,-22.95,13.18
